index,exchange,symbol,conversion type(1× 2÷ 0 noConversion),conversionIndex,weight,tier value,priceMultiple,emaLagMs,uniqueExchangeAlias,chainId,tokenAddress,poolAddress,baseTokenAddress,quoteTokenAddress,subscribeName,sharesMultiplierSource,sharesMultiplierToken,sharesMultiplierBenchmark,conversionCheck
AEVO-EUR,Bybit,AEVO/USDT,1,USDT-EUR,1.0,3,1,0,,,,,,,,,,,TRUE
AEVO-USD,Gate,AEVO/USDT,1,USDT-USD,0.167,2,1,0,,,,,,,,,,,TRUE
AEVO-USD,OKX,AEVO/USDT,1,USDT-USD,0.333,4,1,0,,,,,,,,,,,TRUE
AEVO-USD,Kucoin,AEVO/USDT,1,USDT-USD,0.167,2,1,0,,,,,,,,,,,TRUE
AEVO-USD,Binance,AEVO/USDT,1,USDT-USD,0.333,4,1,0,,,,,,,,,,,TRUE
AGLD-EUR,Bybit,AGLD/USDT,1,USDT-EUR,1.0,3,1,0,,,,,,,,,,,TRUE
AGLD-USD,Gate,AGLD/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
AGLD-USD,Binance,AGLD/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
AGLD-USD,Mxc,AGLD/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
AGLD-USD,OKX,AGLD/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
AGLD-USD,Coinbase,AGLD/USD,0,,0.2,3,1,0,,,,,,,,,,,TRUE
AIXBT-EUR,OKX,AIXBT/USDT,1,USDT-EUR,1.0,4,1,0,,,,,,,,,,,TRUE
ALGO-EUR,Coinbase,ALGO/EUR,0,,0.375,3,1,0,,,,,,,,,,,TRUE
ALGO-EUR,Bitvavo,ALGO/EUR,0,,0.25,2,1,0,,,,,,,,,,,TRUE
ALGO-EUR,Kraken,ALGO/EUR,0,,0.375,3,1,0,,,,,,,,,,,TRUE
ALGO-USD,Kucoin,ALGO/USDT,1,USDT-USD,0.125,2,1,0,,,,,,,,,,,TRUE
ALGO-USD,OKX,ALGO/USDT,1,USDT-USD,0.25,4,1,0,,,,,,,,,,,TRUE
ALGO-USD,Kraken,ALGO/USD,0,,0.188,3,1,0,,,,,,,,,,,TRUE
ALGO-USD,Binance,ALGO/USDT,1,USDT-USD,0.25,4,1,0,,,,,,,,,,,TRUE
ALGO-USD,Coinbase,ALGO/USD,0,,0.188,3,1,0,,,,,,,,,,,TRUE
ALLO-EUR,Gate,ALLO/USDT,1,USDT-EUR,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-EUR,OKX,ALLO/USDT,1,USDT-EUR,0.4,4,1,0,,,,,,,,,,,TRUE
ALLO-EUR,Mxc,ALLO/USDT,1,USDT-EUR,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-EUR,Bitget,ALLO/USDT,1,USDT-EUR,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-TRY,Bitget,ALLO/USDT,1,USDT-TRY,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-TRY,Gate,ALLO/USDT,1,USDT-TRY,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-TRY,OKX,ALLO/USDT,1,USDT-TRY,0.4,4,1,0,,,,,,,,,,,TRUE
ALLO-TRY,Mxc,ALLO/USDT,1,USDT-TRY,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USD,OKX,ALLO/USDT,1,USDT-USD,0.4,4,1,0,,,,,,,,,,,TRUE
ALLO-USD,Mxc,ALLO/USDT,1,USDT-USD,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USD,Bitget,ALLO/USDT,1,USDT-USD,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USD,Gate,ALLO/USDT,1,USDT-USD,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USDC,Mxc,ALLO/USDT,2,USDC-USDT,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USDC,Bitget,ALLO/USDT,2,USDC-USDT,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USDC,Gate,ALLO/USDT,2,USDC-USDT,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USDC,OKX,ALLO/USDT,2,USDC-USDT,0.4,4,1,0,,,,,,,,,,,TRUE
ALLO-USDT,Mxc,ALLO/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USDT,Bitget,ALLO/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USDT,Gate,ALLO/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
ALLO-USDT,OKX,ALLO/USDT,0,,0.4,4,1,0,,,,,,,,,,,TRUE
AMD-USDT,Pyth,AMD/USD,2,USDT-USD,0.4,2,1,0,,,,,,,,,,,TRUE
AMD-USDT,Hyperliquid_LINEAR_PERPETUAL,AMD/USDC,1,USDC-USDT,0.3,2,1,0,,,,,,,,,,,TRUE
AMD-USDT,OKX_PERPETUAL,AMD-USDT/SWAP-SWAP,1,USDT/SWAP-USDT,0.3,2,1,0,,,,,,,,,,,TRUE
AMZN-USDT,Binance_LINEAR_PERPETUAL,AMZN/USDT,0,,0.15,2,1,0,,,,,,,,,,,TRUE
AMZN-USDT,Ondo_TICKER,AMZN/USD,2,USDT-USD,0.2,2,1,0,,,,,,,,,,,TRUE
AMZN-USDT,Pyth,AMZN/USD,2,USDT-USD,0.2,2,1,0,,,,,,,,,,,TRUE
AMZN-USDT,Binance_LINEAR_INDEX,AMZN/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
AMZN-USDT,Bitmart,AMZNX/USDT,0,,0.1,2,1,0,,,,,,,,,,,TRUE
AMZN-USDT,OKX_PERPETUAL,AMZN-USDT/SWAP-SWAP,1,USDT/SWAP-USDT,0.15,2,1,0,,,,,,,,,,,TRUE
