index,assetsType,component_count,ema_avg_deviation,ema_max_deviation,issues
0G-USDT,Altcoins,4,0.1611,0.2814,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 334s > 300s
1INCH-EUR,Altcoins,2,0.1480,0.1798,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1796s > 300s
1INCH-USD,Altcoins,3,0.1521,0.2644,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 502s > 300s
1INCH-USDC,Altcoins,5,0.1293,0.2047,AL-5: ema_avg_update_lag 359s > 300s
1INCH-USDT,Altcoins,5,0.1317,0.2124,AL-5: ema_avg_update_lag 345s > 300s
2Z-EUR,Altcoins,5,0.1756,0.2487,AL-5: ema_avg_update_lag 316s > 300s
2Z-USD,Altcoins,5,0.1934,0.2609,AL-5: ema_avg_update_lag 349s > 300s
2Z-USDC,Altcoins,5,0.2260,0.3205,AL-5: ema_avg_update_lag 315s > 300s
A-EUR,Altcoins,5,0.1411,0.2428,AL-5: ema_avg_update_lag 387s > 300s
A-USD,Altcoins,5,0.1470,0.2268,AL-5: ema_avg_update_lag 345s > 300s
A-USDC,Altcoins,5,0.1342,0.2236,AL-5: ema_avg_update_lag 390s > 300s
A-USDT,Altcoins,5,0.1489,0.2272,AL-5: ema_avg_update_lag 327s > 300s
AAPL-USDT,TradFi,5,0.0994,0.2309,TF-1: dxFeed available but not in components
AAVE-EUR,Altcoins,3,0.1914,0.3319,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 600s > 300s
AAVE-TRY,Altcoins,3,0.0915,0.1164,AL-1: Bybit available but not in components
AAVE-USD,Altcoins,4,0.1340,0.1565,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 308s > 300s
AAVE-USDC,Altcoins,4,0.1269,0.1610,AL-5: ema_avg_update_lag 343s > 300s
ACE-EUR,Altcoins,3,0.2567,0.3891,AL-5: ema_avg_update_lag 551s > 300s
ACE-USD,Altcoins,3,0.2435,0.3815,AL-5: ema_avg_update_lag 524s > 300s
ACE-USDC,Altcoins,3,0.2194,0.3598,AL-5: ema_avg_update_lag 582s > 300s
ACE-USDT,Altcoins,3,0.2209,0.3425,AL-5: ema_avg_update_lag 514s > 300s
ACH-EUR,Altcoins,1,0.0620,0.0620,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 609s > 300s
ACH-USD,Altcoins,4,0.1478,0.2777,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 610s > 300s
ACH-USDC,Altcoins,5,0.1498,0.3215,AL-5: ema_avg_update_lag 579s > 300s
ACH-USDT,Altcoins,5,0.1276,0.2728,AL-5: ema_avg_update_lag 531s > 300s
ACT-TRY,Altcoins,1,0.2588,0.2734,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1316s > 300s
ACT-USD,Altcoins,4,0.1731,0.2867,AL-5: ema_avg_update_lag 641s > 300s
ACT-USDT,Altcoins,4,0.1871,0.3023,AL-5: ema_avg_update_lag 626s > 300s
ADA-EUR,Topcoins,5,0.1586,0.2869,TC: ema_avg_deviation 0.16% ≥ 0.15%
ADA-TRY,Topcoins,2,0.1570,0.2196,TC: ema_avg_deviation 0.16% ≥ 0.15%; TC: only 2 components (need ≥5)
AERGO-EUR,Altcoins,2,0.1424,0.1769,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 578s > 300s
AERGO-USD,Altcoins,2,0.1408,0.1752,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 572s > 300s
AERGO-USDC,Altcoins,2,0.1458,0.1728,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 645s > 300s
AERGO-USDT,Altcoins,2,0.1339,0.1595,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 522s > 300s
AEVO-EUR,Altcoins,1,0.1266,0.1266,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 480s > 300s
AEVO-USD,Altcoins,4,0.2206,0.4236,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 533s > 300s
AEVO-USDC,Altcoins,5,0.2175,0.4858,AL-5: ema_avg_update_lag 543s > 300s
AEVO-USDT,Altcoins,5,0.2595,0.5742,AL-5: ema_avg_update_lag 450s > 300s
AGLD-EUR,Altcoins,1,0.0639,0.0639,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 456s > 300s
AGLD-USD,Altcoins,4,0.1469,0.2724,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 528s > 300s
AGLD-USDC,Altcoins,5,0.1348,0.2321,AL-5: ema_avg_update_lag 566s > 300s
AGLD-USDT,Altcoins,5,0.1329,0.2353,AL-5: ema_avg_update_lag 505s > 300s
AIXBT-EUR,Altcoins,1,0.1891,0.1891,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 404s > 300s
AIXBT-TRY,Altcoins,5,0.1657,0.3066,AL-5: ema_avg_update_lag 470s > 300s
AIXBT-USD,Altcoins,5,0.1514,0.2653,AL-5: ema_avg_update_lag 477s > 300s
AIXBT-USDC,Altcoins,5,0.1990,0.3466,AL-5: ema_avg_update_lag 530s > 300s
AIXBT-USDT,Altcoins,5,0.1865,0.3368,AL-5: ema_avg_update_lag 484s > 300s
ALGO-EUR,Altcoins,2,0.1118,0.1981,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 633s > 300s
ALGO-USD,Altcoins,5,0.0961,0.1563,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 382s > 300s
ALGO-USDC,Altcoins,4,0.1238,0.1881,AL-5: ema_avg_update_lag 420s > 300s
ALGO-USDT,Altcoins,4,0.1541,0.2141,AL-5: ema_avg_update_lag 367s > 300s
ALLO-EUR,Altcoins,4,0.1866,0.3004,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 389s > 300s
ALLO-TRY,Altcoins,4,0.1695,0.2887,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 449s > 300s
ALLO-USD,Altcoins,4,0.1726,0.2642,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 409s > 300s
ALLO-USDC,Altcoins,4,0.1760,0.2763,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 397s > 300s
ALLO-USDT,Altcoins,4,0.1952,0.3030,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 372s > 300s
AMD-USDT,TradFi,3,0.1388,0.1798,TF-1: Ondo_TICKER available but not in components; TF-1: dxFeed available but not in components
AMZN-USDT,TradFi,6,0.0807,0.1487,TF-1: dxFeed available but not in components
ANIME-EUR,Altcoins,3,0.1278,0.1947,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 377s > 300s
ANIME-TRY,Altcoins,5,0.1468,0.2416,AL-5: ema_avg_update_lag 363s > 300s
