index,assetsType,component_count,ema_avg_deviation,ema_max_deviation,issues
ANIME-USD,Altcoins,5,0.1215,0.2306,AL-5: ema_avg_update_lag 329s > 300s
ANIME-USDC,Altcoins,5,0.1370,0.2430,AL-5: ema_avg_update_lag 394s > 300s
ANIME-USDT,Altcoins,5,0.1316,0.2201,AL-5: ema_avg_update_lag 341s > 300s
APE-EUR,Altcoins,1,0.1132,0.1477,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 2434s > 300s
APE-USD,Altcoins,5,0.2337,0.4498,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 610s > 300s
APE-USDC,Altcoins,5,0.1384,0.2004,AL-5: ema_avg_update_lag 417s > 300s
APE-USDT,Altcoins,5,0.1772,0.2409,AL-5: ema_avg_update_lag 334s > 300s
API3-EUR,Altcoins,4,0.1374,0.2681,AL-5: ema_avg_update_lag 514s > 300s
API3-USD,Altcoins,4,0.1537,0.2871,AL-5: ema_avg_update_lag 670s > 300s
API3-USDC,Altcoins,4,0.1304,0.2378,AL-5: ema_avg_update_lag 501s > 300s
API3-USDT,Altcoins,4,0.1378,0.2408,AL-5: ema_avg_update_lag 481s > 300s
APR-USDT,Altcoins,4,0.2452,0.4636,AL-5: ema_avg_update_lag 304s > 300s
APT-EUR,Altcoins,3,0.2320,0.3841,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 852s > 300s
APT-TRY,Altcoins,2,0.1630,0.2227,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 710s > 300s
APT-USD,Altcoins,5,0.1502,0.1849,AL-5: ema_avg_update_lag 333s > 300s
APT-USDC,Altcoins,4,0.1367,0.1838,AL-5: ema_avg_update_lag 363s > 300s
APT-USDT,Altcoins,5,0.1351,0.1948,AL-5: ema_avg_update_lag 308s > 300s
AR-EUR,Altcoins,1,0.1116,0.1116,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 395s > 300s
AR-USD,Altcoins,4,0.1531,0.2543,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 548s > 300s
AR-USDC,Altcoins,5,0.1749,0.2982,AL-5: ema_avg_update_lag 488s > 300s
AR-USDT,Altcoins,5,0.1898,0.3001,AL-5: ema_avg_update_lag 454s > 300s
ARB-EUR,Altcoins,2,0.1447,0.2441,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 866s > 300s
ARB-TRY,Altcoins,2,0.1930,0.2599,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 622s > 300s
ARB-USD,Altcoins,5,0.1313,0.2044,AL-5: ema_avg_update_lag 330s > 300s
ARB-USDC,Altcoins,4,0.1258,0.1533,AL-5: ema_avg_update_lag 400s > 300s
ARB-USDT,Altcoins,4,0.1296,0.1827,AL-5: ema_avg_update_lag 315s > 300s
ARG-EUR,Altcoins,2,0.2167,0.2932,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 349s > 300s
ARG-USD,Altcoins,2,0.1823,0.2318,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 360s > 300s
ARG-USDC,Altcoins,2,0.2327,0.2736,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 365s > 300s
ARG-USDT,Altcoins,2,0.1624,0.2098,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 360s > 300s
ARKM-EUR,Altcoins,4,0.2786,0.4924,AL-5: ema_avg_update_lag 536s > 300s
ARKM-TRY,Altcoins,2,0.1919,0.2377,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 596s > 300s
ARKM-USD,Altcoins,4,0.1884,0.3785,AL-5: ema_avg_update_lag 473s > 300s
ARKM-USDC,Altcoins,4,0.2110,0.4026,AL-5: ema_avg_update_lag 543s > 300s
ARKM-USDT,Altcoins,4,0.2834,0.5139,AL-5: ema_avg_update_lag 435s > 300s
ASP-EUR,Altcoins,0,0.0000,0.0000,AL-1: OKX available but not in components; AL-4: only 0 distinct exchanges (need ≥3)
ASP-USD,Altcoins,2,0.2772,0.4369,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 615s > 300s
ASP-USDC,Altcoins,0,0.0000,0.0000,AL-1: OKX available but not in components; AL-4: only 0 distinct exchanges (need ≥3)
ASP-USDT,Altcoins,2,0.2323,0.3427,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 617s > 300s
ASTER-EUR,Altcoins,5,0.0970,0.1642,AL-5: ema_avg_update_lag 351s > 300s
ASTER-TRY,Altcoins,2,0.1019,0.1109,AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 478s > 300s
ASTER-USD,Altcoins,5,0.0880,0.1377,AL-5: ema_avg_update_lag 345s > 300s
ASTER-USDC,Altcoins,5,0.1115,0.1736,AL-5: ema_avg_update_lag 348s > 300s
ASTER-USDT,Altcoins,5,0.1242,0.1883,AL-5: ema_avg_update_lag 327s > 300s
ASTR-EUR,Altcoins,3,0.1880,0.2851,AL-5: ema_avg_update_lag 451s > 300s
ASTR-USD,Altcoins,3,0.1723,0.2619,AL-5: ema_avg_update_lag 395s > 300s
ASTR-USDC,Altcoins,3,0.1541,0.2589,AL-5: ema_avg_update_lag 437s > 300s
ASTR-USDT,Altcoins,3,0.1573,0.2149,AL-5: ema_avg_update_lag 394s > 300s
AT-USDT,Altcoins,4,0.1292,0.2853,AL-1: Binance available but not in components
ATH-EUR,Altcoins,4,0.1582,0.2091,AL-5: ema_avg_update_lag 335s > 300s
ATH-TRY,Altcoins,4,0.1691,0.2276,AL-5: ema_avg_update_lag 313s > 300s
ATH-USD,Altcoins,4,0.2085,0.2608,AL-5: ema_avg_update_lag 370s > 300s
ATH-USDC,Altcoins,4,0.2036,0.2732,AL-5: ema_avg_update_lag 318s > 300s
ATOM-EUR,Altcoins,5,0.1083,0.2537,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 767s > 300s
ATOM-USD,Altcoins,5,0.0951,0.1452,AL-5: ema_avg_update_lag 359s > 300s
ATOM-USDC,Altcoins,4,0.1031,0.1564,AL-5: ema_avg_update_lag 366s > 300s
AUCTION-EUR,Altcoins,1,0.0690,0.0690,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 318s > 300s
AUCTION-USD,Altcoins,4,0.0959,0.1587,AL-5: ema_avg_update_lag 586s > 300s
AUCTION-USDC,Altcoins,4,0.0964,0.1568,AL-5: ema_avg_update_lag 592s > 300s
AUCTION-USDT,Altcoins,4,0.0982,0.1589,AL-5: ema_avg_update_lag 611s > 300s
AVAX-EUR,Altcoins,4,0.2616,0.6835,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 718s > 300s
AVAX-TRY,Altcoins,2,0.1391,0.2033,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 488s > 300s
AVAX-USD,Altcoins,5,0.1236,0.1988,AL-5: ema_avg_update_lag 343s > 300s
AVAX-USDC,Altcoins,4,0.0950,0.1366,AL-5: ema_avg_update_lag 322s > 300s
AVNT-EUR,Altcoins,5,0.1177,0.2092,AL-5: ema_avg_update_lag 404s > 300s
AVNT-USD,Altcoins,5,0.1300,0.2924,AL-5: ema_avg_update_lag 357s > 300s
AVNT-USDC,Altcoins,5,0.1164,0.1878,AL-5: ema_avg_update_lag 396s > 300s
AVNT-USDT,Altcoins,5,0.2282,0.3106,AL-5: ema_avg_update_lag 358s > 300s
AXS-EUR,Altcoins,1,0.1801,0.2097,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1044s > 300s
AXS-TRY,Altcoins,4,0.1249,0.2049,AL-5: ema_avg_update_lag 323s > 300s
AXS-USD,Altcoins,5,0.1735,0.3334,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 334s > 300s
AXS-USDC,Altcoins,4,0.1255,0.2106,AL-5: ema_avg_update_lag 344s > 300s
AXS-USDT,Altcoins,4,0.1393,0.2376,AL-5: ema_avg_update_lag 321s > 300s
AZTEC-USDT,Altcoins,3,0.1664,0.2538,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 482s > 300s
BABY-EUR,Altcoins,4,0.1450,0.2238,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 319s > 300s
BABY-USD,Altcoins,4,0.1599,0.2345,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 356s > 300s
BABY-USDC,Altcoins,4,0.1521,0.2311,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 362s > 300s
BABY-USDT,Altcoins,5,0.1467,0.2486,AL-5: ema_avg_update_lag 330s > 300s
BABYDOGE-EUR,Altcoins,4,0.2274,0.3717,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 473s > 300s
BABYDOGE-USD,Altcoins,4,0.2445,0.3475,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 532s > 300s
BABYDOGE-USDC,Altcoins,4,0.2211,0.3312,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 503s > 300s
BABYDOGE-USDT,Altcoins,4,0.2321,0.3821,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 426s > 300s
BANANA-EUR,Altcoins,4,0.1925,0.3315,AL-5: ema_avg_update_lag 556s > 300s
BANANA-USD,Altcoins,4,0.1993,0.3472,AL-5: ema_avg_update_lag 624s > 300s
BANANA-USDC,Altcoins,4,0.1946,0.3097,AL-5: ema_avg_update_lag 562s > 300s
BANANA-USDT,Altcoins,4,0.2030,0.3327,AL-5: ema_avg_update_lag 565s > 300s
BAND-EUR,Altcoins,4,0.1898,0.3030,AL-5: ema_avg_update_lag 795s > 300s
BAND-USD,Altcoins,4,0.2285,0.3777,AL-5: ema_avg_update_lag 723s > 300s
BAND-USDC,Altcoins,4,0.2055,0.3165,AL-5: ema_avg_update_lag 840s > 300s
BAND-USDT,Altcoins,4,0.2445,0.4036,AL-5: ema_avg_update_lag 665s > 300s
BARD-EUR,Altcoins,4,0.2677,0.3841,AL-5: ema_avg_update_lag 340s > 300s
BARD-TRY,Altcoins,4,0.3007,0.3970,AL-5: ema_avg_update_lag 340s > 300s
BARD-USD,Altcoins,4,0.2882,0.3874,AL-5: ema_avg_update_lag 315s > 300s
BARD-USDC,Altcoins,4,0.2733,0.3921,AL-5: ema_avg_update_lag 318s > 300s
BARD-USDT,Altcoins,4,0.5279,0.6437,AL-5: ema_avg_deviation 0.53% > 0.5%
BASED-TRY,Altcoins,0,0.0000,0.0000,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 0 distinct exchanges (need ≥3)
BASED-USD,Altcoins,0,0.0000,0.0000,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 0 distinct exchanges (need ≥3)
BASED-USDT,Altcoins,0,0.0000,0.0000,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 0 distinct exchanges (need ≥3)
BAT-EUR,Altcoins,5,0.2027,0.3719,AL-5: ema_avg_update_lag 427s > 300s
BAT-USD,Altcoins,4,0.1754,0.2630,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 312s > 300s
BAT-USDC,Altcoins,5,0.2050,0.3362,AL-5: ema_avg_update_lag 425s > 300s
BAT-USDT,Altcoins,5,0.2118,0.3252,AL-5: ema_avg_update_lag 376s > 300s
BCH-EUR,Topcoins,1,0.0814,0.0814,TC: only 1 components (need ≥5)
BCH-USDC,Topcoins,4,0.0965,0.1204,TC: only 4 components (need ≥5)
BEAT-USDT,Altcoins,4,0.7264,0.8959,AL-5: ema_avg_deviation 0.73% > 0.5%
BERA-EUR,Altcoins,4,0.1570,0.2361,AL-5: ema_avg_update_lag 393s > 300s
BERA-TRY,Altcoins,4,0.1014,0.1579,AL-5: ema_avg_update_lag 364s > 300s
BERA-USD,Altcoins,4,0.1520,0.2170,AL-5: ema_avg_update_lag 421s > 300s
BERA-USDC,Altcoins,4,0.1079,0.1649,AL-5: ema_avg_update_lag 378s > 300s
BERA-USDT,Altcoins,4,0.1282,0.1833,AL-5: ema_avg_update_lag 336s > 300s
BETH-ETH,Topcoins,4,0.0124,0.0202,TC: only 4 components (need ≥5)
BICO-EUR,Altcoins,4,0.2609,0.3873,AL-5: ema_avg_update_lag 528s > 300s
BICO-USD,Altcoins,4,0.2366,0.3842,AL-5: ema_avg_update_lag 456s > 300s
BICO-USDC,Altcoins,4,0.2576,0.4431,AL-5: ema_avg_update_lag 526s > 300s
BICO-USDT,Altcoins,4,0.2587,0.4003,AL-5: ema_avg_update_lag 458s > 300s
BIGTIME-EUR,Altcoins,1,0.1364,0.1364,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 498s > 300s
BIGTIME-USD,Altcoins,4,0.1360,0.2641,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 580s > 300s
BIGTIME-USDC,Altcoins,4,0.1308,0.2245,AL-5: ema_avg_update_lag 471s > 300s
BIGTIME-USDT,Altcoins,4,0.1057,0.1771,AL-5: ema_avg_update_lag 414s > 300s
BIO-EUR,Altcoins,4,0.2609,0.4008,AL-5: ema_avg_update_lag 573s > 300s
BIO-TRY,Altcoins,4,0.2377,0.3978,AL-5: ema_avg_update_lag 526s > 300s
BIO-USD,Altcoins,3,0.2607,0.3643,AL-1: OKX available but not in components; AL-5: ema_avg_update_lag 539s > 300s
BIO-USDC,Altcoins,4,0.2015,0.3810,AL-5: ema_avg_update_lag 584s > 300s
BIO-USDT,Altcoins,4,0.2574,0.4765,AL-5: ema_avg_update_lag 513s > 300s
BLUR-EUR,Altcoins,5,0.1167,0.2480,AL-5: ema_avg_update_lag 556s > 300s
BLUR-USD,Altcoins,5,0.1220,0.2606,AL-5: ema_avg_update_lag 545s > 300s
BLUR-USDC,Altcoins,5,0.1023,0.1921,AL-5: ema_avg_update_lag 569s > 300s
BLUR-USDT,Altcoins,5,0.1473,0.2759,AL-5: ema_avg_update_lag 487s > 300s
BNB-EUR,Altcoins,4,0.0577,0.1006,AL-1: Bybit available but not in components
BNB-USD,Altcoins,5,0.0755,0.0937,AL-5: ema_avg_update_lag 303s > 300s
BNB-USDC,Altcoins,4,0.0777,0.0930,AL-5: ema_avg_update_lag 316s > 300s
BNT-EUR,Altcoins,2,0.1072,0.1211,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 484s > 300s
BNT-USD,Altcoins,3,0.1834,0.3418,AL-5: ema_avg_update_lag 759s > 300s
BNT-USDC,Altcoins,5,0.1506,0.2622,AL-5: ema_avg_update_lag 651s > 300s
BNT-USDT,Altcoins,5,0.1606,0.2761,AL-5: ema_avg_update_lag 589s > 300s
BOME-EUR,Altcoins,4,0.1333,0.2154,AL-5: ema_avg_update_lag 439s > 300s
BOME-USD,Altcoins,4,0.1509,0.2626,AL-5: ema_avg_update_lag 420s > 300s
BOME-USDC,Altcoins,4,0.1650,0.2672,AL-5: ema_avg_update_lag 516s > 300s
BOME-USDT,Altcoins,4,0.1668,0.2684,AL-5: ema_avg_update_lag 398s > 300s
BONK-EUR,Altcoins,1,0.0795,0.0795,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3)
BONK-TRY,Altcoins,2,0.1519,0.2392,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 585s > 300s
BONK-USD,Altcoins,4,0.0973,0.1509,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 360s > 300s
BONK-USDC,Altcoins,5,0.1029,0.1504,AL-5: ema_avg_update_lag 379s > 300s
BONK-USDT,Altcoins,5,0.1142,0.1752,AL-5: ema_avg_update_lag 307s > 300s
BREV-EUR,Altcoins,3,0.1447,0.2448,AL-5: ema_avg_update_lag 449s > 300s
BREV-TRY,Altcoins,3,0.1480,0.2070,AL-5: ema_avg_update_lag 454s > 300s
BREV-USD,Altcoins,3,0.1474,0.2341,AL-5: ema_avg_update_lag 425s > 300s
BREV-USDC,Altcoins,3,0.1442,0.2394,AL-5: ema_avg_update_lag 542s > 300s
BREV-USDT,Altcoins,3,0.1356,0.1772,AL-5: ema_avg_update_lag 421s > 300s
BRL1-BRL,Altcoins,1,0.0695,0.0757,AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 2118s > 300s
BRL1-USDT,Altcoins,1,0.0563,0.0616,AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 2037s > 300s
BTC-TRY,Topcoins,3,0.0948,0.1442,TC: only 3 components (need ≥5)
BTC-USD,Topcoins,4,0.0851,0.1054,TC: only 4 components (need ≥5)
BTC-USD_UM,Topcoins,0,0.0000,0.0000,TC: only 0 components (need ≥5)
BZ-USDT,TradFi,3,0.2044,0.2735,TF-1: dxFeed available but not in components
CAT-EUR,Altcoins,3,0.1917,0.3364,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 463s > 300s
CAT-USD,Altcoins,4,0.1843,0.3685,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 453s > 300s
CAT-USDC,Altcoins,4,0.2223,0.3621,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 459s > 300s
CAT-USDT,Altcoins,4,0.2022,0.3894,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 422s > 300s
CATI-EUR,Altcoins,4,0.1579,0.2274,AL-5: ema_avg_update_lag 344s > 300s
CATI-USD,Altcoins,4,0.1819,0.2869,AL-5: ema_avg_update_lag 354s > 300s
CATI-USDC,Altcoins,4,0.1949,0.2771,AL-5: ema_avg_update_lag 341s > 300s
CATI-USDT,Altcoins,4,0.1816,0.2854,AL-5: ema_avg_update_lag 335s > 300s
CC-EUR,Altcoins,0,0.0000,0.0000,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 0 distinct exchanges (need ≥3)
CC-TRY,Altcoins,3,0.0817,0.1103,AL-1: OKX available but not in components; AL-5: ema_avg_update_lag 313s > 300s
CC-USD,Altcoins,5,0.0779,0.1172,AL-5: ema_avg_update_lag 313s > 300s
CC-USDC,Altcoins,0,0.0000,0.0000,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 0 distinct exchanges (need ≥3)
CELO-EUR,Altcoins,1,0.2037,0.2037,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 354s > 300s
CELO-USD,Altcoins,3,0.1741,0.3101,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 498s > 300s
CELO-USDC,Altcoins,4,0.1950,0.3011,AL-5: ema_avg_update_lag 502s > 300s
CELO-USDT,Altcoins,4,0.1712,0.3301,AL-5: ema_avg_update_lag 426s > 300s
CELR-EUR,Altcoins,1,0.1399,0.1399,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 307s > 300s
CELR-USD,Altcoins,2,0.2854,0.4165,AL-1: OKX available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 515s > 300s
CELR-USDC,Altcoins,3,0.3088,0.5143,AL-1: OKX available but not in components; AL-5: ema_avg_update_lag 482s > 300s
CELR-USDT,Altcoins,3,0.2649,0.4285,AL-1: OKX available but not in components; AL-5: ema_avg_update_lag 449s > 300s
