index,exchange,symbol,conversion type(1× 2÷ 0 noConversion),conversionIndex,weight,tier value,priceMultiple,emaLagMs,uniqueExchangeAlias,chainId,tokenAddress,poolAddress,baseTokenAddress,quoteTokenAddress,subscribeName,sharesMultiplierSource,sharesMultiplierToken,sharesMultiplierBenchmark,conversionCheck
0G-USDT,Binance,0G/USDT,0,,0.4,4,1,0,,,,,,,,,,,TRUE
0G-USDT,Bitget,0G/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
0G-USDT,Mxc,0G/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
0G-USDT,Binance_LINEAR_PERPETUAL,0G/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
1INCH-EUR,Coinbase,1INCH/EUR,0,,0.6,3,1,0,,,,,,,,,,,TRUE
1INCH-EUR,Bitvavo,1INCH/EUR,0,,0.4,2,1,0,,,,,,,,,,,TRUE
1INCH-USD,OKX,1INCH/USDT,1,USDT-USD,0.4,4,1,0,,,,,,,,,,,TRUE
1INCH-USD,Binance,1INCH/USDT,1,USDT-USD,0.4,4,1,0,,,,,,,,,,,TRUE
1INCH-USD,Gate,1INCH/USDT,1,USDT-USD,0.2,2,1,0,,,,,,,,,,,TRUE
1INCH-USDT,Bybit,1INCH/USDT,0,,0.2,3,1,0,,,,,,,,,,,TRUE
1INCH-USDT,Gate,1INCH/USDT,0,,0.133,2,1,0,,,,,,,,,,,TRUE
1INCH-USDT,OKX,1INCH/USDT,0,,0.267,4,1,0,,,,,,,,,,,TRUE
1INCH-USDT,Kucoin,1INCH/USDT,0,,0.133,2,1,0,,,,,,,,,,,TRUE
1INCH-USDT,Binance,1INCH/USDT,0,,0.267,4,1,0,,,,,,,,,,,TRUE
2Z-USD,Bybit,2Z/USDT,1,USDT-USD,0.2,3,1,0,,,,,,,,,,,TRUE
2Z-USD,Bitget,2Z/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
2Z-USD,Gate,2Z/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
2Z-USD,OKX,2Z/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
2Z-USD,Binance,2Z/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
2Z-USDC,Binance,2Z/USDT,2,USDC-USDT,0.267,4,1,0,,,,,,,,,,,TRUE
2Z-USDC,Bybit,2Z/USDT,2,USDC-USDT,0.2,3,1,0,,,,,,,,,,,TRUE
2Z-USDC,Bitget,2Z/USDT,2,USDC-USDT,0.133,2,1,0,,,,,,,,,,,TRUE
2Z-USDC,Gate,2Z/USDT,2,USDC-USDT,0.133,2,1,0,,,,,,,,,,,TRUE
2Z-USDC,OKX,2Z/USDT,2,USDC-USDT,0.267,4,1,0,,,,,,,,,,,TRUE
2Z-USDT,Gate,2Z/USDT,0,,0.133,2,1,0,,,,,,,,,,,TRUE
2Z-USDT,OKX,2Z/USDT,0,,0.267,4,1,0,,,,,,,,,,,TRUE
2Z-USDT,Binance,2Z/USDT,0,,0.267,4,1,0,,,,,,,,,,,TRUE
2Z-USDT,Bybit,2Z/USDT,0,,0.2,3,1,0,,,,,,,,,,,TRUE
2Z-USDT,Bitget,2Z/USDT,0,,0.133,2,1,0,,,,,,,,,,,TRUE
A-USD,Bybit,A/USDT,1,USDT-USD,0.2,3,1,0,,,,,,,,,,,TRUE
A-USD,Bitget,A/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
A-USD,OKX,A/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
A-USD,Gate,A/USDT,1,USDT-USD,0.133,2,1,0,,,,,,,,,,,TRUE
A-USD,Binance,A/USDT,1,USDT-USD,0.267,4,1,0,,,,,,,,,,,TRUE
A-USDC,Binance,A/USDT,2,USDC-USDT,0.267,4,1,0,,,,,,,,,,,TRUE
A-USDC,Gate,A/USDT,2,USDC-USDT,0.133,2,1,0,,,,,,,,,,,TRUE
A-USDC,Bybit,A/USDT,2,USDC-USDT,0.2,3,1,0,,,,,,,,,,,TRUE
A-USDC,Bitget,A/USDT,2,USDC-USDT,0.133,2,1,0,,,,,,,,,,,TRUE
A-USDC,OKX,A/USDT,2,USDC-USDT,0.267,4,1,0,,,,,,,,,,,TRUE
A-USDT,Gate,A/USDT,0,,0.133,2,1,0,,,,,,,,,,,TRUE
A-USDT,OKX,A/USDT,0,,0.267,4,1,0,,,,,,,,,,,TRUE
A-USDT,Binance,A/USDT,0,,0.267,4,1,0,,,,,,,,,,,TRUE
A-USDT,Bybit,A/USDT,0,,0.2,3,1,0,,,,,,,,,,,TRUE
A-USDT,Bitget,A/USDT,0,,0.133,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,Ondo_TICKER,AAPL/USD,2,USDT-USD,0.25,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,Pyth,AAPL/USD,2,USDT-USD,0.25,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,Bitmart,AAPLX/USDT,0,,0.1,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,Gate_LINEAR_PERPETUAL,AAPLX/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,OKX_PERPETUAL,AAPL-USDT/SWAP-SWAP,1,USDT/SWAP-USDT,0.2,2,1,0,,,,,,,,,,,TRUE
AAVE-EUR,OKX,AAVE/EUR,0,,0.333,4,1,0,,,,,,,,,,,TRUE
AAVE-EUR,Bitvavo,AAVE/EUR,0,,0.167,2,1,0,,,,,,,,,,,TRUE
AAVE-EUR,Coinbase,AAVE/EUR,0,,0.25,3,1,0,,,,,,,,,,,TRUE
AAVE-EUR,Kraken,AAVE/EUR,0,,0.25,3,1,0,,,,,,,,,,,TRUE
AAVE-TRY,Kucoin,AAVE/USDT,1,USDT-TRY,0.2,2,1,0,,,,,,,,,,,TRUE
AAVE-TRY,OKX,AAVE/USDT,1,USDT-TRY,0.4,4,1,0,,,,,,,,,,,TRUE
AAVE-TRY,Binance,AAVE/USDT,1,USDT-TRY,0.4,4,1,0,,,,,,,,,,,TRUE
AAVE-USD,OKX,AAVE/USDT,1,USDT-USD,0.308,4,1,0,,,,,,,,,,,TRUE
