index,assetsType,component_count,ema_avg_deviation,ema_max_deviation,issues
CFG-EUR,Altcoins,1,0.4462,0.4462,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1572s > 300s
CFG-TRY,Altcoins,4,0.4543,0.5575,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1186s > 300s
CFG-USD,Altcoins,4,0.6092,0.7426,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_deviation 0.61% > 0.5%; AL-5: ema_avg_update_lag 1109s > 300s
CFG-USDC,Altcoins,4,0.4703,0.5995,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1910s > 300s
CFG-USDT,Altcoins,4,0.4247,0.5488,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1430s > 300s
CFX-EUR,Altcoins,3,0.2499,0.2864,AL-5: ema_avg_update_lag 1663s > 300s
CFX-USD,Altcoins,3,0.1659,0.1995,AL-5: ema_avg_update_lag 1137s > 300s
CFX-USDC,Altcoins,3,0.2326,0.2829,AL-5: ema_avg_update_lag 1644s > 300s
CFX-USDT,Altcoins,3,0.2727,0.3289,AL-5: ema_avg_update_lag 1698s > 300s
CHZ-EUR,Altcoins,3,0.2470,0.3483,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 2594s > 300s
CHZ-TRY,Altcoins,3,0.1478,0.1815,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1668s > 300s
CHZ-USD,Altcoins,4,0.1450,0.2294,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1156s > 300s
CHZ-USDC,Altcoins,4,0.1468,0.1992,AL-5: ema_avg_update_lag 1960s > 300s
CHZ-USDT,Altcoins,4,0.1799,0.2472,AL-5: ema_avg_update_lag 1468s > 300s
CITY-USD,Altcoins,3,0.1661,0.2335,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1148s > 300s
CITY-USDT,Altcoins,3,0.2047,0.3175,AL-5: ema_avg_update_lag 1321s > 300s
CL-USDT,TradFi,3,0.1830,0.2453,TF-1: Pyth available but not in components; TF-1: dxFeed available but not in components
COAI-USDT,Altcoins,4,0.1767,0.2903,AL-5: ema_avg_update_lag 1682s > 300s
COIN-USDT,TradFi,6,0.1991,0.2507,TF-1: dxFeed available but not in components
COMP-EUR,Altcoins,3,0.0747,0.1034,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 3581s > 300s
COMP-USD,Altcoins,4,0.1099,0.1719,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1059s > 300s
COMP-USDC,Altcoins,4,0.1616,0.3169,AL-5: ema_avg_update_lag 1272s > 300s
COMP-USDT,Altcoins,4,0.1662,0.3181,AL-5: ema_avg_update_lag 1804s > 300s
CORE-EUR,Altcoins,4,0.3777,0.4886,AL-5: ema_avg_update_lag 1143s > 300s
CORE-USD,Altcoins,4,0.3267,0.3975,AL-5: ema_avg_update_lag 1047s > 300s
CORE-USDC,Altcoins,4,0.3703,0.5048,AL-5: ema_avg_update_lag 1144s > 300s
CORE-USDT,Altcoins,4,0.3753,0.4608,AL-5: ema_avg_update_lag 1613s > 300s
CRCL-USDT,TradFi,6,0.3660,0.4672,TF-1: dxFeed available but not in components
CRO-EUR,Altcoins,4,0.0747,0.1090,AL-5: ema_avg_update_lag 1707s > 300s
CRO-TRY,Altcoins,4,0.0852,0.1164,AL-5: ema_avg_update_lag 1689s > 300s
CRO-USD,Altcoins,4,0.0844,0.1267,AL-5: ema_avg_update_lag 1172s > 300s
CRO-USDC,Altcoins,4,0.0749,0.1107,AL-5: ema_avg_update_lag 1369s > 300s
CRO-USDT,Altcoins,4,0.0981,0.1299,AL-5: ema_avg_update_lag 1594s > 300s
CRV-EUR,Altcoins,4,0.2628,0.4024,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1949s > 300s
CRV-USD,Altcoins,5,0.1826,0.2521,AL-5: ema_avg_update_lag 1140s > 300s
CRV-USDC,Altcoins,4,0.1971,0.2538,AL-5: ema_avg_update_lag 1720s > 300s
CRV-USDT,Altcoins,4,0.2701,0.3367,AL-5: ema_avg_update_lag 1744s > 300s
CSPR-EUR,Altcoins,1,0.3473,0.3473,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1903s > 300s
CSPR-USD,Altcoins,4,0.3473,0.5174,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1383s > 300s
CSPR-USDC,Altcoins,5,0.3644,0.5486,AL-5: ema_avg_update_lag 1739s > 300s
CSPR-USDT,Altcoins,5,0.3942,0.6217,AL-5: ema_avg_update_lag 1785s > 300s
CTC-EUR,Altcoins,4,0.2907,0.5442,AL-5: ema_avg_update_lag 1788s > 300s
CTC-USD,Altcoins,4,0.2785,0.5004,AL-5: ema_avg_update_lag 1756s > 300s
CTC-USDC,Altcoins,4,0.2810,0.5234,AL-5: ema_avg_update_lag 1854s > 300s
CTC-USDT,Altcoins,4,0.2667,0.4913,AL-5: ema_avg_update_lag 1516s > 300s
CVC-EUR,Altcoins,3,0.2339,0.2784,AL-5: ema_avg_update_lag 1667s > 300s
CVC-USD,Altcoins,3,0.2148,0.2618,AL-5: ema_avg_update_lag 1659s > 300s
CVC-USDC,Altcoins,3,0.2702,0.3286,AL-5: ema_avg_update_lag 1757s > 300s
CVC-USDT,Altcoins,3,0.2510,0.3077,AL-5: ema_avg_update_lag 1465s > 300s
CVX-EUR,Altcoins,4,0.2717,0.4283,AL-5: ema_avg_update_lag 1203s > 300s
CVX-USD,Altcoins,4,0.2512,0.3870,AL-5: ema_avg_update_lag 1356s > 300s
CVX-USDC,Altcoins,4,0.3079,0.4399,AL-5: ema_avg_update_lag 1392s > 300s
CVX-USDT,Altcoins,4,0.3381,0.5327,AL-5: ema_avg_update_lag 1664s > 300s
DAI-TRY,Altcoins,3,0.0269,0.0386,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 2005s > 300s
DAI-USD,Altcoins,3,0.0108,0.0177,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1314s > 300s
DAI-USDT,Altcoins,3,0.0172,0.0245,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 2404s > 300s
DASH-EUR,Altcoins,5,0.1710,0.2514,AL-5: ema_avg_update_lag 1598s > 300s
DASH-USD,Altcoins,5,0.1539,0.2360,AL-5: ema_avg_update_lag 1142s > 300s
DASH-USDC,Altcoins,5,0.1684,0.2558,AL-5: ema_avg_update_lag 1132s > 300s
DASH-USDT,Altcoins,5,0.1661,0.2337,AL-5: ema_avg_update_lag 1627s > 300s
DEGEN-USD,Altcoins,5,0.2323,0.3717,AL-5: ema_avg_update_lag 1378s > 300s
DEGEN-USDT,Altcoins,4,0.3201,0.5247,AL-5: ema_avg_update_lag 1926s > 300s
DGB-EUR,Altcoins,4,0.3904,0.6124,AL-5: ema_avg_update_lag 1909s > 300s
DGB-USD,Altcoins,4,0.2618,0.4324,AL-5: ema_avg_update_lag 1539s > 300s
DGB-USDC,Altcoins,4,0.3219,0.5259,AL-5: ema_avg_update_lag 1350s > 300s
DGB-USDT,Altcoins,4,0.3122,0.5873,AL-5: ema_avg_update_lag 1499s > 300s
DOGE-EUR,Topcoins,5,0.1559,0.2803,TC: ema_avg_deviation 0.16% ≥ 0.15%
DOGE-TRY,Topcoins,3,0.1349,0.1895,TC: only 3 components (need ≥5)
DOGE-USDT,Topcoins,5,0.1656,0.1864,TC: ema_avg_deviation 0.17% ≥ 0.15%
DOGS-USD,Altcoins,4,0.2702,0.4290,AL-5: ema_avg_update_lag 1212s > 300s
DOGS-USDT,Altcoins,4,0.2969,0.4058,AL-5: ema_avg_update_lag 1759s > 300s
DOOD-EUR,Altcoins,4,0.1822,0.2897,AL-5: ema_avg_update_lag 1714s > 300s
DOOD-USD,Altcoins,4,0.1632,0.2787,AL-5: ema_avg_update_lag 1599s > 300s
DOOD-USDC,Altcoins,3,0.2046,0.3568,AL-5: ema_avg_update_lag 1710s > 300s
DOOD-USDT,Altcoins,3,0.2534,0.4032,AL-5: ema_avg_update_lag 1722s > 300s
DORA-USDT,Altcoins,2,0.2382,0.2775,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 2120s > 300s
DOT-EUR,Topcoins,4,0.2444,0.2983,TC: ema_avg_deviation 0.24% ≥ 0.15%; TC: only 4 components (need ≥5)
DOT-TRY,Topcoins,2,0.1889,0.2059,TC: ema_avg_deviation 0.19% ≥ 0.15%; TC: only 2 components (need ≥5)
DOT-USD,Topcoins,5,0.2129,0.2748,TC: ema_avg_deviation 0.21% ≥ 0.15%
DOT-USDC,Topcoins,4,0.2363,0.2694,TC: ema_avg_deviation 0.24% ≥ 0.15%; TC: only 4 components (need ≥5)
DOT-USDT,Topcoins,5,0.2739,0.3159,TC: ema_avg_deviation 0.27% ≥ 0.15%; TC: ema_max_deviation 0.32% ≥ 0.3%
DUCK-USD,Altcoins,3,0.1894,0.2781,AL-5: ema_avg_update_lag 1271s > 300s
DUCK-USDT,Altcoins,3,0.1758,0.2820,AL-5: ema_avg_update_lag 1697s > 300s
DYDX-EUR,Altcoins,5,0.4078,0.5274,AL-5: ema_avg_update_lag 1313s > 300s
DYDX-USD,Altcoins,5,0.3517,0.4520,AL-5: ema_avg_update_lag 1681s > 300s
DYDX-USDC,Altcoins,5,0.4230,0.5192,AL-5: ema_avg_update_lag 1705s > 300s
DYDX-USDT,Altcoins,5,0.5125,0.6444,AL-5: ema_avg_deviation 0.51% > 0.5%; AL-5: ema_avg_update_lag 1621s > 300s
EDEN-USDT,Altcoins,5,0.4019,0.6916,AL-5: ema_avg_update_lag 974s > 300s
EGLD-EUR,Altcoins,4,0.2434,0.3458,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 2791s > 300s
EGLD-USD,Altcoins,5,0.2169,0.4377,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1669s > 300s
EGLD-USDC,Altcoins,5,0.2047,0.3365,AL-5: ema_avg_update_lag 1825s > 300s
EGLD-USDT,Altcoins,5,0.1986,0.2925,AL-5: ema_avg_update_lag 2001s > 300s
EIGEN-EUR,Altcoins,4,0.2396,0.3805,AL-5: ema_avg_update_lag 1825s > 300s
EIGEN-TRY,Altcoins,3,0.1870,0.2523,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1866s > 300s
EIGEN-USD,Altcoins,4,0.2634,0.3908,AL-5: ema_avg_update_lag 1336s > 300s
EIGEN-USDC,Altcoins,4,0.2714,0.3864,AL-5: ema_avg_update_lag 1440s > 300s
EIGEN-USDT,Altcoins,4,0.3289,0.5126,AL-5: ema_avg_update_lag 1622s > 300s
ELF-EUR,Altcoins,2,0.1282,0.1585,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1895s > 300s
ELF-USD,Altcoins,2,0.1316,0.1624,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1592s > 300s
ELF-USDC,Altcoins,2,0.1419,0.2024,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1822s > 300s
ELF-USDT,Altcoins,2,0.1194,0.1447,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1134s > 300s
ENA-EUR,Altcoins,5,0.4085,0.4681,AL-5: ema_avg_update_lag 1717s > 300s
ENA-TRY,Altcoins,3,0.4396,0.5272,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1748s > 300s
ENA-USD,Altcoins,5,0.3129,0.3673,AL-5: ema_avg_update_lag 1233s > 300s
ENA-USDC,Altcoins,5,0.4227,0.4725,AL-5: ema_avg_update_lag 1717s > 300s
ENA-USDT,Altcoins,5,0.4294,0.4890,AL-5: ema_avg_update_lag 1728s > 300s
ENJ-EUR,Altcoins,1,0.3718,0.3718,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1789s > 300s
ENJ-USD,Altcoins,4,0.3816,0.5346,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1769s > 300s
ENJ-USDC,Altcoins,5,0.4433,0.6037,AL-5: ema_avg_update_lag 1717s > 300s
ENJ-USDT,Altcoins,5,0.4335,0.6321,AL-5: ema_avg_update_lag 1409s > 300s
ENS-EUR,Altcoins,4,0.1517,0.2288,AL-5: ema_avg_update_lag 1161s > 300s
ENS-USD,Altcoins,5,0.1555,0.2593,AL-5: ema_avg_update_lag 1205s > 300s
ENS-USDC,Altcoins,4,0.2306,0.3089,AL-5: ema_avg_update_lag 2009s > 300s
ENS-USDT,Altcoins,4,0.1723,0.2473,AL-5: ema_avg_update_lag 1778s > 300s
ENSO-USDT,Altcoins,4,0.2728,0.3562,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1648s > 300s
ESP-USDT,Altcoins,4,0.2918,0.3901,AL-5: ema_avg_update_lag 1761s > 300s
ETC-USD,Topcoins,5,0.2173,0.3183,TC: ema_avg_deviation 0.22% ≥ 0.15%; TC: ema_max_deviation 0.32% ≥ 0.3%
ETC-USDC,Topcoins,5,0.1644,0.2344,TC: ema_avg_deviation 0.16% ≥ 0.15%
ETC-USDT,Topcoins,5,0.1790,0.2686,TC: ema_avg_deviation 0.18% ≥ 0.15%
ETH-TRY,Topcoins,3,0.1249,0.1577,TC: only 3 components (need ≥5)
ETH-USDC,Topcoins,5,0.1549,0.1848,TC: ema_avg_deviation 0.15% ≥ 0.15%
ETHFI-EUR,Altcoins,4,0.2338,0.2934,AL-5: ema_avg_update_lag 1716s > 300s
ETHFI-TRY,Altcoins,3,0.2250,0.3250,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1976s > 300s
ETHFI-USD,Altcoins,4,0.1880,0.2608,AL-5: ema_avg_update_lag 1360s > 300s
ETHFI-USDC,Altcoins,4,0.2254,0.3102,AL-5: ema_avg_update_lag 1477s > 300s
ETHFI-USDT,Altcoins,4,0.2891,0.3605,AL-5: ema_avg_update_lag 988s > 300s
ETHW-EUR,Altcoins,1,0.2384,0.2384,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1923s > 300s
ETHW-USD,Altcoins,4,0.1711,0.2818,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1026s > 300s
ETHW-USDC,Altcoins,4,0.3348,0.4582,AL-5: ema_avg_update_lag 1762s > 300s
ETHW-USDT,Altcoins,4,0.2259,0.3546,AL-5: ema_avg_update_lag 1735s > 300s
EURC-USD,Fiat,2,0.0221,0.0294,Fiat: only 2 components (need ≥3)
EWJ-USDT,TradFi,2,0.1335,0.2022,TF-1: dxFeed available but not in components; TF-1: Binance_LINEAR_INDEX available but not in components; TF-3: Binance_LINEAR_PERPETUAL (score 4) available but not used; TF-5: only 2 components (need ≥3)
EWY-USDT,TradFi,3,0.1852,0.2375,TF-1: dxFeed available but not in components; TF-1: Binance_LINEAR_INDEX available but not in components; TF-3: Binance_LINEAR_PERPETUAL (score 4) available but not used
F-USDT,Altcoins,5,0.1790,0.2844,AL-5: ema_avg_update_lag 1704s > 300s
FARTCOIN-USDT,Altcoins,5,0.2852,0.3962,AL-5: ema_avg_update_lag 1646s > 300s
FET-EUR,Altcoins,3,0.4152,0.5452,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1697s > 300s
FET-TRY,Altcoins,3,0.4294,0.6104,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1815s > 300s
FET-USD,Altcoins,4,0.4044,0.4605,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1166s > 300s
FET-USDC,Altcoins,5,0.5187,0.7245,AL-1: Bybit available but not in components; AL-5: ema_avg_deviation 0.52% > 0.5%; AL-5: ema_avg_update_lag 1410s > 300s
FET-USDT,Altcoins,5,0.4448,0.5046,AL-5: ema_avg_update_lag 1573s > 300s
FIL-EUR,Altcoins,5,0.1924,0.2526,AL-5: ema_avg_update_lag 1042s > 300s
FIL-TRY,Altcoins,5,0.1760,0.2244,AL-5: ema_avg_update_lag 1204s > 300s
FIL-USD,Altcoins,5,0.2122,0.3382,AL-5: ema_avg_update_lag 1371s > 300s
FIL-USDC,Altcoins,2,0.2006,0.2483,AL-1: OKX available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1227s > 300s
FIL-USDT,Altcoins,5,0.2494,0.3362,AL-5: ema_avg_update_lag 1670s > 300s
FLOKI-EUR,Altcoins,1,0.1249,0.1249,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1846s > 300s
FLOKI-TRY,Altcoins,3,0.1600,0.2229,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1830s > 300s
FLOKI-USD,Altcoins,5,0.1313,0.1871,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1048s > 300s
FLOKI-USDC,Altcoins,6,0.1591,0.2250,AL-5: ema_avg_update_lag 1225s > 300s
FLOKI-USDT,Altcoins,6,0.1873,0.2722,AL-5: ema_avg_update_lag 1644s > 300s
FLOW-EUR,Altcoins,4,0.2586,0.3834,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1361s > 300s
FLOW-USD,Altcoins,5,0.5345,1.0929,AL-1: Bybit available but not in components; AL-5: ema_avg_deviation 0.53% > 0.5%; AL-5: ema_avg_update_lag 1313s > 300s
FLOW-USDC,Altcoins,5,0.2950,0.4116,AL-5: ema_avg_update_lag 1663s > 300s
FLOW-USDT,Altcoins,5,0.2796,0.4079,AL-5: ema_avg_update_lag 1770s > 300s
FLR-EUR,Altcoins,4,0.1696,0.2755,AL-5: ema_avg_update_lag 1431s > 300s
FLR-USD,Altcoins,5,0.1667,0.2736,AL-5: ema_avg_update_lag 1811s > 300s
FLR-USDC,Altcoins,4,0.1800,0.3020,AL-5: ema_avg_update_lag 1513s > 300s
FLR-USDT,Altcoins,4,0.1720,0.2773,AL-5: ema_avg_update_lag 1747s > 300s
FLUID-EUR,Altcoins,2,0.1794,0.2168,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1724s > 300s
FLUID-USD,Altcoins,2,0.1746,0.2066,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1832s > 300s
FLUID-USDC,Altcoins,2,0.1700,0.2008,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1700s > 300s
FLUID-USDT,Altcoins,2,0.1633,0.1952,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1435s > 300s
FOGO-EUR,Altcoins,4,0.3346,0.3912,AL-5: ema_avg_update_lag 1615s > 300s
FOGO-TRY,Altcoins,4,0.3107,0.3540,AL-5: ema_avg_update_lag 1644s > 300s
FOGO-USD,Altcoins,4,0.3280,0.3773,AL-5: ema_avg_update_lag 1708s > 300s
FOGO-USDC,Altcoins,4,0.2949,0.3496,AL-5: ema_avg_update_lag 1326s > 300s
FOGO-USDT,Altcoins,4,0.4275,0.4737,AL-5: ema_avg_update_lag 1670s > 300s
G-EUR,Altcoins,5,0.2233,0.3541,AL-5: ema_avg_update_lag 1836s > 300s
G-USD,Altcoins,5,0.2146,0.3313,AL-5: ema_avg_update_lag 1811s > 300s
G-USDC,Altcoins,5,0.2894,0.4164,AL-5: ema_avg_update_lag 1851s > 300s
G-USDT,Altcoins,5,0.2389,0.3720,AL-5: ema_avg_update_lag 1939s > 300s
GALA-EUR,Altcoins,1,0.2033,0.2033,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1554s > 300s
GALA-USD,Altcoins,4,0.2107,0.3489,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1793s > 300s
GALA-USDC,Altcoins,4,0.3312,0.4149,AL-5: ema_avg_update_lag 1283s > 300s
GALA-USDT,Altcoins,4,0.2882,0.3973,AL-5: ema_avg_update_lag 1661s > 300s
GALFT-USDT,Altcoins,1,0.0683,0.0683,AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 2074s > 300s
GAS-EUR,Altcoins,4,0.1558,0.2356,AL-5: ema_avg_update_lag 1818s > 300s
GAS-USD,Altcoins,4,0.1336,0.2223,AL-5: ema_avg_update_lag 1360s > 300s
GAS-USDC,Altcoins,4,0.1503,0.2415,AL-5: ema_avg_update_lag 1774s > 300s
GAS-USDT,Altcoins,4,0.2170,0.3264,AL-5: ema_avg_update_lag 1399s > 300s
GIGGLE-USDT,Altcoins,5,0.2505,0.3420,AL-5: ema_avg_update_lag 1660s > 300s
GLM-EUR,Altcoins,4,0.2514,0.3657,AL-5: ema_avg_update_lag 1480s > 300s
GLM-USD,Altcoins,4,0.2452,0.3738,AL-5: ema_avg_update_lag 1233s > 300s
GLM-USDC,Altcoins,4,0.2584,0.3987,AL-5: ema_avg_update_lag 1345s > 300s
GLM-USDT,Altcoins,4,0.2570,0.4076,AL-5: ema_avg_update_lag 1772s > 300s
GMT-EUR,Altcoins,4,0.1789,0.2757,AL-5: ema_avg_update_lag 1802s > 300s
GMT-USD,Altcoins,3,0.2207,0.3308,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1895s > 300s
GMT-USDC,Altcoins,4,0.1990,0.2918,AL-5: ema_avg_update_lag 1821s > 300s
GMT-USDT,Altcoins,4,0.2312,0.3281,AL-5: ema_avg_update_lag 1509s > 300s
GMX-USD,Altcoins,5,0.2225,0.3564,AL-5: ema_avg_update_lag 1525s > 300s
GMX-USDT,Altcoins,5,0.2030,0.3887,AL-5: ema_avg_update_lag 1878s > 300s
GOAT-EUR,Altcoins,1,0.2291,0.2291,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1663s > 300s
GOAT-USD,Altcoins,3,0.3376,0.5220,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1699s > 300s
GOAT-USDC,Altcoins,4,0.2907,0.5199,AL-5: ema_avg_update_lag 1906s > 300s
GOAT-USDT,Altcoins,4,0.2890,0.5249,AL-5: ema_avg_update_lag 1897s > 300s
GODS-USD,Altcoins,4,0.2314,0.3350,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1917s > 300s
GODS-USDT,Altcoins,3,0.2701,0.3832,AL-5: ema_avg_update_lag 1764s > 300s
GOOGL-USDT,TradFi,5,0.1405,0.2250,TF-1: dxFeed available but not in components
GPS-USDT,Altcoins,5,0.2211,0.3243,AL-5: ema_avg_update_lag 1409s > 300s
GRASS-USDT,Altcoins,5,0.4522,0.5670,AL-5: ema_avg_update_lag 897s > 300s
GRT-EUR,Altcoins,4,0.1964,0.3346,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 2466s > 300s
GRT-USD,Altcoins,4,0.1624,0.2664,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1926s > 300s
GRT-USDC,Altcoins,5,0.1386,0.2252,AL-5: ema_avg_update_lag 1804s > 300s
GRT-USDT,Altcoins,5,0.1974,0.3295,AL-5: ema_avg_update_lag 1846s > 300s
H-USDT,Altcoins,5,0.3954,0.4967,AL-5: ema_avg_update_lag 1618s > 300s
HBAR-EUR,Altcoins,3,0.1802,0.2335,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1745s > 300s
HBAR-TRY,Altcoins,5,0.1196,0.1524,AL-5: ema_avg_update_lag 1625s > 300s
HBAR-USD,Altcoins,5,0.1503,0.1858,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1250s > 300s
HBAR-USDC,Altcoins,5,0.1468,0.1784,AL-5: ema_avg_update_lag 1715s > 300s
HBAR-USDT,Altcoins,5,0.1446,0.2001,AL-5: ema_avg_update_lag 1654s > 300s
HMSTR-TRY,Altcoins,4,0.1512,0.2214,AL-5: ema_avg_update_lag 1724s > 300s
HMSTR-USD,Altcoins,4,0.1457,0.2382,AL-5: ema_avg_update_lag 1324s > 300s
HMSTR-USDT,Altcoins,4,0.1607,0.2240,AL-5: ema_avg_update_lag 942s > 300s
HOME-USDT,Altcoins,5,0.2005,0.3342,AL-5: ema_avg_update_lag 1495s > 300s
HOOD-USDT,TradFi,6,0.2063,0.2778,TF-1: dxFeed available but not in components
HUMA-EUR,Altcoins,4,0.7818,0.9149,AL-5: ema_avg_deviation 0.78% > 0.5%; AL-5: ema_avg_update_lag 1649s > 300s
HUMA-USD,Altcoins,4,0.6947,0.8683,AL-5: ema_avg_deviation 0.69% > 0.5%; AL-5: ema_avg_update_lag 1216s > 300s
HUMA-USDC,Altcoins,4,0.8412,1.0030,AL-5: ema_avg_deviation 0.84% > 0.5%; AL-5: ema_avg_update_lag 1351s > 300s
HUMA-USDT,Altcoins,4,0.5861,0.7527,AL-5: ema_avg_deviation 0.59% > 0.5%; AL-5: ema_avg_update_lag 888s > 300s
HYPE-EUR,Altcoins,5,0.1986,0.2364,AL-5: ema_avg_update_lag 1620s > 300s
HYPE-TRY,Altcoins,5,0.1835,0.2120,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1190s > 300s
HYPE-USD,Altcoins,5,0.1838,0.2090,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1634s > 300s
HYPE-USDC,Altcoins,5,0.2260,0.2915,AL-5: ema_avg_update_lag 1190s > 300s
HYPE-USDT,Altcoins,5,0.2306,0.2562,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1668s > 300s
ICP-EUR,Altcoins,5,0.1807,0.3052,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1996s > 300s
ICP-TRY,Altcoins,4,0.1325,0.1783,AL-5: ema_avg_update_lag 1652s > 300s
ICP-USD,Altcoins,5,0.1497,0.2066,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1129s > 300s
ICP-USDC,Altcoins,4,0.1444,0.1753,AL-5: ema_avg_update_lag 1717s > 300s
ICP-USDT,Altcoins,4,0.1840,0.2362,AL-5: ema_avg_update_lag 1688s > 300s
ICX-EUR,Altcoins,1,0.2088,0.2088,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1172s > 300s
ICX-USD,Altcoins,4,0.2616,0.4312,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1384s > 300s
ICX-USDC,Altcoins,5,0.2531,0.3993,AL-5: ema_avg_update_lag 1832s > 300s
ICX-USDT,Altcoins,5,0.3003,0.4779,AL-5: ema_avg_update_lag 1763s > 300s
ID-EUR,Altcoins,2,0.1543,0.1948,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1791s > 300s
ID-USD,Altcoins,4,0.1969,0.3135,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1401s > 300s
ID-USDC,Altcoins,5,0.2744,0.4591,AL-5: ema_avg_update_lag 1830s > 300s
ID-USDT,Altcoins,5,0.2104,0.3477,AL-5: ema_avg_update_lag 1657s > 300s
ILV-EUR,Altcoins,4,0.2061,0.3325,AL-5: ema_avg_update_lag 1859s > 300s
ILV-USD,Altcoins,4,0.2251,0.3477,AL-5: ema_avg_update_lag 1475s > 300s
