index,assetsType,component_count,ema_avg_deviation,ema_max_deviation,issues
ALGO-USD,Altcoins,5,0.1209,0.1700,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1141s > 300s
ALGO-USDC,Altcoins,4,0.1828,0.2174,AL-5: ema_avg_update_lag 1281s > 300s
ALGO-USDT,Altcoins,4,0.1920,0.2265,AL-5: ema_avg_update_lag 1733s > 300s
ALLO-EUR,Altcoins,4,0.1144,0.3158,AL-1: Binance available but not in components
ALLO-TRY,Altcoins,4,0.2908,0.4179,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1246s > 300s
ALLO-USD,Altcoins,4,0.3330,0.4656,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1633s > 300s
ALLO-USDC,Altcoins,4,0.2822,0.3473,AL-1: Binance available but not in components
ALLO-USDT,Altcoins,4,0.2650,0.3938,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 943s > 300s
AMD-USDT,TradFi,3,0.2590,0.3111,TF-1: Ondo_TICKER available but not in components; TF-1: dxFeed available but not in components
AMZN-USDT,TradFi,6,0.1051,0.1557,TF-1: dxFeed available but not in components
ANIME-EUR,Altcoins,3,0.1544,0.2080,AL-1: OKX available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1641s > 300s
ANIME-TRY,Altcoins,5,0.1793,0.2797,AL-5: ema_avg_update_lag 1187s > 300s
ANIME-USD,Altcoins,5,0.1676,0.2452,AL-5: ema_avg_update_lag 1288s > 300s
ANIME-USDC,Altcoins,5,0.1697,0.2673,AL-5: ema_avg_update_lag 1786s > 300s
ANIME-USDT,Altcoins,5,0.1921,0.2800,AL-5: ema_avg_update_lag 1756s > 300s
APE-EUR,Altcoins,3,0.3109,0.4210,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 3596s > 300s
APE-USD,Altcoins,5,0.2501,0.3967,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1378s > 300s
APE-USDC,Altcoins,5,0.2352,0.3123,AL-5: ema_avg_update_lag 1691s > 300s
APE-USDT,Altcoins,5,0.3055,0.3716,AL-5: ema_avg_update_lag 1746s > 300s
API3-EUR,Altcoins,4,0.2329,0.3629,AL-5: ema_avg_update_lag 1773s > 300s
API3-USD,Altcoins,4,0.2033,0.3250,AL-5: ema_avg_update_lag 1400s > 300s
API3-USDC,Altcoins,4,0.2144,0.3273,AL-5: ema_avg_update_lag 1454s > 300s
API3-USDT,Altcoins,4,0.2142,0.3410,AL-5: ema_avg_update_lag 1715s > 300s
APR-USDT,Altcoins,4,0.4358,0.5732,AL-5: ema_avg_update_lag 1526s > 300s
APT-EUR,Altcoins,4,0.2283,0.3239,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 2115s > 300s
APT-TRY,Altcoins,3,0.2777,0.3408,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1925s > 300s
APT-USD,Altcoins,5,0.2751,0.3312,AL-5: ema_avg_update_lag 1669s > 300s
APT-USDC,Altcoins,4,0.2665,0.3259,AL-5: ema_avg_update_lag 1909s > 300s
APT-USDT,Altcoins,5,0.2500,0.3246,AL-5: ema_avg_update_lag 1503s > 300s
AR-EUR,Altcoins,1,0.2254,0.2254,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1790s > 300s
AR-USD,Altcoins,4,0.2410,0.3569,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1496s > 300s
AR-USDC,Altcoins,5,0.2682,0.3939,AL-5: ema_avg_update_lag 1372s > 300s
AR-USDT,Altcoins,5,0.3021,0.4433,AL-5: ema_avg_update_lag 1766s > 300s
ARB-EUR,Altcoins,4,0.2603,0.4247,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 2226s > 300s
ARB-TRY,Altcoins,3,0.1766,0.2335,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1900s > 300s
ARB-USD,Altcoins,5,0.2359,0.2934,AL-5: ema_avg_update_lag 1287s > 300s
ARB-USDC,Altcoins,4,0.1709,0.2095,AL-5: ema_avg_update_lag 1922s > 300s
